No,ID,Site,Date,Ncoor_DD,Wcoor_DD,Classification,Blue,Green,Red
189,47,NH,Made,47.875322,-54.088848,Exposed seaweed,104,183,201
190,48,NH,Made,47.876412,-54.087729,Exposed seaweed,102,180,203
205,32,NH,Made,47.875356,-54.088317,Seaweed,77,78,47
206,33,NH,Made,47.876541,-54.087381,Seaweed,66,70,55
207,36,NH,Made,47.876843,-54.086904,Seaweed,82,85,72
208,37,NH,Made,47.877397,-54.086318,Seaweed,82,81,70
228,72,NH,Made,47.876518,-54.087167,Seaweed,82,85,59
233,5,NH,Made,47.875909,-54.082693,Substrate,88,120,109
234,6,NH,Made,47.876147,-54.082865,Substrate,81,114,110
235,7,NH,Made,47.876291,-54.082525,Substrate,80,110,111
238,10,NH,Made,47.87719,-54.081472,Substrate,92,125,130
239,11,NH,Made,47.877498,-54.081257,Substrate,76,108,118
240,13,NH,Made,47.878326,-54.08055,Substrate,75,105,125
241,14,NH,Made,47.878847,-54.08076,Substrate,71,108,127
242,16,NH,Made,47.879927,-54.081674,Substrate,88,105,112
243,17,NH,Made,47.880164,-54.08251,Substrate,75,112,122
244,18,NH,Made,47.876536,-54.084986,Substrate,126,151,135
245,19,NH,Made,47.87535,-54.086042,Substrate,82,106,76
246,20,NH,Made,47.879886,-54.082721,Substrate,73,113,121
247,21,NH,Made,47.876644,-54.087155,Substrate,123,135,98
248,1,NH,Made,47.874208,-54.088846,Deep water,75,45,18
249,2,NH,Made,47.874171,-54.088337,Deep water,76,42,20
250,3,NH,Made,47.874115,-54.088019,Deep water,74,47,20
251,4,NH,Made,47.874297,-54.088863,Deep water,77,45,22
252,5,NH,Made,47.874295,-54.088376,Deep water,76,45,21
253,6,NH,Made,47.874296,-54.088185,Deep water,74,44,18
254,7,NH,Made,47.874358,-54.087928,Deep water,65,42,17
255,8,NH,Made,47.874481,-54.088113,Deep water,75,52,25
256,9,NH,Made,47.874476,-54.088178,Deep water,69,44,18
257,10,NH,Made,47.873818,-54.087651,Deep water,64,40,17
258,11,NH,Made,47.874109,-54.087659,Deep water,59,38,17
259,12,NH,Made,47.873605,-54.085931,Deep water,60,39,18
263,16,NH,Made,47.873886,-54.085648,Deep water,56,39,16
264,17,NH,Made,47.874096,-54.085369,Deep water,56,40,19
265,19,NH,Made,47.874183,-54.085861,Deep water,60,49,21
266,20,NH,Made,47.87426,-54.085497,Deep water,58,39,18
268,22,NH,Made,47.874409,-54.085124,Deep water,65,45,21
269,23,NH,Made,47.874558,-54.08524,Deep water,69,45,22
270,24,NH,Made,47.874615,-54.085089,Deep water,71,46,23
271,26,NH,Made,47.874016,-54.085956,Deep water,60,49,21
272,28,NH,Made,47.874438,-54.088982,Deep water,76,46,21
273,29,NH,Made,47.874514,-54.088549,Deep water,78,46,22
274,30,NH,Made,47.874237,-54.088398,Deep water,75,44,18
275,31,NH,Made,47.874159,-54.087609,Deep water,66,48,21
276,32,NH,Made,47.873893,-54.0876,Deep water,63,43,17
278,36,NH,Made,47.874226,-54.085083,Deep water,61,46,23
279,38,NH,Made,47.874237,-54.08549,Deep water,55,39,17
280,40,NH,Made,47.874333,-54.085139,Deep water,61,41,17
281,25,NH,Made,47.874801,-54.079948,Substrate,51,54,61
282,26,NH,Made,47.874794,-54.080039,Substrate,48,50,59
283,30,NH,Made,47.87429,-54.079986,Substrate,48,52,60
284,34,NH,Made,47.874347,-54.079924,Substrate,63,67,76
191,49,NH,Made,47.87653,-54.087575,Exposed seaweed,97,161,182
192,50,NH,Made,47.876592,-54.087536,Exposed seaweed,114,176,194
198,51,NH,Made,47.876591,-54.087542,Exposed seaweed,96,158,178
199,52,NH,Made,47.8769,-54.087265,Exposed seaweed,118,175,191
200,53,NH,Made,47.876849,-54.087219,Exposed seaweed,106,147,164
201,54,NH,Made,47.876675,-54.087376,Exposed seaweed,82,146,165
202,56,NH,Made,47.87665,-54.087468,Exposed seaweed,71,127,147
203,57,NH,Made,47.876454,-54.087662,Exposed seaweed,100,147,162
204,58,NH,Made,47.876341,-54.087785,Exposed seaweed,102,148,167
205,59,NH,Made,47.876365,-54.087729,Exposed seaweed,96,138,148
206,60,NH,Made,47.87628,-54.08799,Exposed seaweed,110,165,181
207,61,NH,Made,47.876266,-54.087845,Exposed seaweed,84,136,158
208,62,NH,Made,47.877243,-54.086594,Exposed seaweed,110,154,169
209,63,NH,Made,47.877137,-54.086589,Exposed seaweed,97,130,144
210,64,NH,Made,47.877258,-54.086762,Exposed seaweed,102,147,170
211,65,NH,Made,47.877476,-54.086539,Exposed seaweed,98,142,159
212,66,NH,Made,47.87709,-54.08714,Exposed seaweed,110,168,188
229,73,NH,Made,47.87666,-54.087008,Seaweed,69,74,57
230,75,NH,Made,47.876564,-54.086874,Seaweed,79,80,56
231,80,NH,Made,47.875285,-54.088566,Seaweed,87,94,64
232,83,NH,Made,47.875499,-54.081655,Seaweed,65,68,65
233,89,NH,Made,47.875285,-54.081772,Seaweed,63,69,69
234,90,NH,Made,47.875354,-54.081735,Seaweed,51,52,45
235,92,NH,Made,47.875469,-54.081462,Seaweed,59,61,63
236,93,NH,Made,47.875475,-54.081405,Seaweed,57,52,53
237,96,NH,Made,47.875482,-54.081375,Seaweed,57,51,54
248,143,NH,Made,47.876264,-54.087739,Seaweed,74,84,75
285,38,NH,Made,47.875491,-54.086974,Substrate,91,111,71
286,41,NH,Made,47.874458,-54.079959,Substrate,62,63,73
287,42,NH,Made,47.875442,-54.087051,Substrate,87,111,72
288,49,NH,Made,47.875213,-54.082374,Substrate,80,101,102
289,51,NH,Made,47.874761,-54.08017,Substrate,57,62,73
53,54,NH,Made,47.875244,-54.084969,Substrate,91,113,78
41,41,NH,Made,47.873535,-54.08338,Deep water,57,46,22
146,146,NH,Made,47.876267,-54.087769,Seaweed,54,59,43
45,45,NH,Made,47.873951,-54.085425,Deep water,58,42,19
42,42,NH,Made,47.874286,-54.085269,Deep water,55,38,18
43,43,NH,Made,47.873757,-54.085828,Deep water,59,43,27
44,44,NH,Made,47.873517,-54.083241,Deep water,58,48,25
