,X.1,X,Transect_no,Quadrat_no,site,Season,Location,Method,Cover_Type,Coverage_count
224,84,8,6,1,SC,Fall,Inside,Drone,Deep_water,0
225,85,9,5,4,SC,Fall,Outside,Drone,Deep_water,100
226,86,10,5,3,SC,Fall,Outside,Drone,Deep_water,100
227,87,11,5,2,SC,Fall,Outside,Drone,Deep_water,12
228,88,12,5,1,SC,Fall,Outside,Drone,Deep_water,0
229,89,13,4,4,SC,Fall,Edge,Drone,Deep_water,100
230,90,14,4,3,SC,Fall,Edge,Drone,Deep_water,0
231,91,15,4,2,SC,Fall,Edge,Drone,Deep_water,0
232,92,16,4,1,SC,Fall,Edge,Drone,Deep_water,0
233,93,17,3,4,SC,Fall,Outside,Drone,Deep_water,101
234,94,18,3,3,SC,Fall,Outside,Drone,Deep_water,101
235,95,19,3,2,SC,Fall,Outside,Drone,Deep_water,99
236,96,20,3,1,SC,Fall,Outside,Drone,Deep_water,100
237,101,25,2,4,SC,Fall,Edge,Drone,Deep_water,0
238,102,26,2,3,SC,Fall,Edge,Drone,Deep_water,0
239,103,27,2,2,SC,Fall,Edge,Drone,Deep_water,0
240,104,28,2,1,SC,Fall,Edge,Drone,Deep_water,0
241,105,1,1,1,NH,Summer,Inside,Drone,Deep_water,0
242,106,2,1,2,NH,Summer,Inside,Drone,Deep_water,8
243,107,3,1,3,NH,Summer,Inside,Drone,Deep_water,0
244,108,4,1,4,NH,Summer,Inside,Drone,Deep_water,2
245,109,5,2,1,NH,Summer,Edge,Drone,Deep_water,0
246,110,6,2,2,NH,Summer,Edge,Drone,Deep_water,0
247,111,7,2,3,NH,Summer,Edge,Drone,Deep_water,0
248,112,8,2,4,NH,Summer,Edge,Drone,Deep_water,0
249,113,9,3,1,NH,Summer,Outside,Drone,Deep_water,0
250,114,10,3,2,NH,Summer,Outside,Drone,Deep_water,0
251,115,11,3,3,NH,Summer,Outside,Drone,Deep_water,0
252,116,12,3,4,NH,Summer,Outside,Drone,Deep_water,38
253,117,13,4,1,NH,Summer,Inside,Drone,Deep_water,0
254,118,14,4,2,NH,Summer,Inside,Drone,Deep_water,0
255,119,15,4,3,NH,Summer,Inside,Drone,Deep_water,0
256,120,16,4,4,NH,Summer,Inside,Drone,Deep_water,0
257,121,17,5,1,NH,Summer,Edge,Drone,Deep_water,0
258,122,18,5,2,NH,Summer,Edge,Drone,Deep_water,0
259,123,19,5,3,NH,Summer,Edge,Drone,Deep_water,0
260,124,20,5,4,NH,Summer,Edge,Drone,Deep_water,0
261,125,21,6,1,NH,Summer,Outside,Drone,Deep_water,0
262,126,22,6,2,NH,Summer,Outside,Drone,Deep_water,0
263,127,23,6,3,NH,Summer,Outside,Drone,Deep_water,0
264,128,24,6,4,NH,Summer,Outside,Drone,Deep_water,0
265,129,1,1,1,NH,Fall,Inside,Drone,Deep_water,7
266,130,2,1,2,NH,Fall,Inside,Drone,Deep_water,19
267,131,3,1,3,NH,Fall,Inside,Drone,Deep_water,0
268,132,4,1,4,NH,Fall,Inside,Drone,Deep_water,35
269,133,5,2,1,NH,Fall,Edge,Drone,Deep_water,0
270,134,6,2,2,NH,Fall,Edge,Drone,Deep_water,0
271,135,7,2,3,NH,Fall,Edge,Drone,Deep_water,0
272,136,8,2,4,NH,Fall,Edge,Drone,Deep_water,0
273,137,9,3,1,NH,Fall,Outside,Drone,Deep_water,0
274,138,10,3,2,NH,Fall,Outside,Drone,Deep_water,0
275,139,11,3,3,NH,Fall,Outside,Drone,Deep_water,0
276,140,12,3,4,NH,Fall,Outside,Drone,Deep_water,48
277,141,13,4,1,NH,Fall,Inside,Drone,Deep_water,0
278,142,14,4,2,NH,Fall,Inside,Drone,Deep_water,0
279,143,15,4,3,NH,Fall,Inside,Drone,Deep_water,0
280,144,16,4,4,NH,Fall,Inside,Drone,Deep_water,0
281,145,17,5,1,NH,Fall,Edge,Drone,Deep_water,0
282,146,18,5,2,NH,Fall,Edge,Drone,Deep_water,0
283,147,19,5,3,NH,Fall,Edge,Drone,Deep_water,0
284,148,20,5,4,NH,Fall,Edge,Drone,Deep_water,0
285,149,21,6,1,NH,Fall,Outside,Drone,Deep_water,0
286,150,22,6,2,NH,Fall,Outside,Drone,Deep_water,0
287,151,23,6,3,NH,Fall,Outside,Drone,Deep_water,0
288,152,24,6,4,NH,Fall,Outside,Drone,Deep_water,0
289,1,1,1,1,BL,Summer,Outside,Drone,All_eelgrass,50
290,2,2,6,4,BL,Summer,Edge,Drone,All_eelgrass,100
291,3,3,6,3,BL,Summer,Edge,Drone,All_eelgrass,92
292,4,4,6,2,BL,Summer,Edge,Drone,All_eelgrass,98
293,5,5,6,1,BL,Summer,Edge,Drone,All_eelgrass,78
294,6,6,5,4,BL,Summer,Inside,Drone,All_eelgrass,61
295,7,7,5,3,BL,Summer,Inside,Drone,All_eelgrass,82
296,8,8,5,2,BL,Summer,Inside,Drone,All_eelgrass,76
297,9,9,5,1,BL,Summer,Inside,Drone,All_eelgrass,90
298,10,10,4,4,BL,Summer,Outside,Drone,All_eelgrass,11
299,11,11,4,3,BL,Summer,Outside,Drone,All_eelgrass,4
300,12,12,4,2,BL,Summer,Outside,Drone,All_eelgrass,0
301,13,13,4,1,BL,Summer,Outside,Drone,All_eelgrass,0
302,14,14,3,4,BL,Summer,Edge,Drone,All_eelgrass,63
303,15,15,3,3,BL,Summer,Edge,Drone,All_eelgrass,55
304,16,16,3,2,BL,Summer,Edge,Drone,All_eelgrass,98
305,17,17,3,1,BL,Summer,Edge,Drone,All_eelgrass,10
306,18,18,2,4,BL,Summer,Inside,Drone,All_eelgrass,76
307,19,19,2,3,BL,Summer,Inside,Drone,All_eelgrass,100
308,20,20,2,2,BL,Summer,Inside,Drone,All_eelgrass,98
309,21,21,2,1,BL,Summer,Inside,Drone,All_eelgrass,103
310,22,22,1,4,BL,Summer,Outside,Drone,All_eelgrass,65
311,23,23,1,3,BL,Summer,Outside,Drone,All_eelgrass,98
312,24,24,1,2,BL,Summer,Outside,Drone,All_eelgrass,66
313,25,1,1,1,BL,Fall,Outside,Drone,All_eelgrass,21
314,26,2,6,4,BL,Fall,Edge,Drone,All_eelgrass,98
315,27,3,6,3,BL,Fall,Edge,Drone,All_eelgrass,44
316,28,4,6,2,BL,Fall,Edge,Drone,All_eelgrass,100
317,29,5,6,1,BL,Fall,Edge,Drone,All_eelgrass,103
318,30,6,5,4,BL,Fall,Inside,Drone,All_eelgrass,101
319,31,7,5,3,BL,Fall,Inside,Drone,All_eelgrass,101
320,32,8,5,2,BL,Fall,Inside,Drone,All_eelgrass,98
321,33,9,5,1,BL,Fall,Inside,Drone,All_eelgrass,87
322,34,10,4,4,BL,Fall,Outside,Drone,All_eelgrass,0
323,35,11,4,3,BL,Fall,Outside,Drone,All_eelgrass,0
324,36,12,4,2,BL,Fall,Outside,Drone,All_eelgrass,0
325,37,13,4,1,BL,Fall,Outside,Drone,All_eelgrass,0
326,38,14,3,4,BL,Fall,Edge,Drone,All_eelgrass,20
327,39,15,3,3,BL,Fall,Edge,Drone,All_eelgrass,8
328,40,16,3,2,BL,Fall,Edge,Drone,All_eelgrass,9
329,41,17,3,1,BL,Fall,Edge,Drone,All_eelgrass,70
330,42,18,2,4,BL,Fall,Inside,Drone,All_eelgrass,102
331,43,19,2,3,BL,Fall,Inside,Drone,All_eelgrass,98
332,44,20,2,2,BL,Fall,Inside,Drone,All_eelgrass,98
333,45,21,2,1,BL,Fall,Inside,Drone,All_eelgrass,33
334,46,22,1,4,BL,Fall,Outside,Drone,All_eelgrass,2
335,47,23,1,3,BL,Fall,Outside,Drone,All_eelgrass,30
336,48,24,1,2,BL,Fall,Outside,Drone,All_eelgrass,9
337,49,1,7,4,SC,Summer,Inside,Drone,All_eelgrass,7
338,50,2,7,3,SC,Summer,Inside,Drone,All_eelgrass,12
339,51,3,7,2,SC,Summer,Inside,Drone,All_eelgrass,14
340,52,4,7,1,SC,Summer,Inside,Drone,All_eelgrass,1
341,53,5,6,4,SC,Summer,Inside,Drone,All_eelgrass,71
342,54,6,6,3,SC,Summer,Inside,Drone,All_eelgrass,78
343,55,7,6,2,SC,Summer,Inside,Drone,All_eelgrass,18
344,56,8,6,1,SC,Summer,Inside,Drone,All_eelgrass,43
345,57,9,5,4,SC,Summer,Outside,Drone,All_eelgrass,0
346,58,10,5,3,SC,Summer,Outside,Drone,All_eelgrass,11
347,59,11,5,2,SC,Summer,Outside,Drone,All_eelgrass,46
348,60,12,5,1,SC,Summer,Outside,Drone,All_eelgrass,0
349,61,13,4,4,SC,Summer,Edge,Drone,All_eelgrass,0
350,62,14,4,3,SC,Summer,Edge,Drone,All_eelgrass,62
351,63,15,4,2,SC,Summer,Edge,Drone,All_eelgrass,0
352,64,16,4,1,SC,Summer,Edge,Drone,All_eelgrass,20
353,65,17,3,4,SC,Summer,Outside,Drone,All_eelgrass,0
354,66,18,3,3,SC,Summer,Outside,Drone,All_eelgrass,20
355,67,19,3,2,SC,Summer,Outside,Drone,All_eelgrass,22
356,68,20,3,1,SC,Summer,Outside,Drone,All_eelgrass,3
357,73,25,2,4,SC,Summer,Edge,Drone,All_eelgrass,24
358,74,26,2,3,SC,Summer,Edge,Drone,All_eelgrass,9
359,75,27,2,2,SC,Summer,Edge,Drone,All_eelgrass,5
360,76,28,2,1,SC,Summer,Edge,Drone,All_eelgrass,54
361,77,1,7,4,SC,Fall,Inside,Drone,All_eelgrass,80
362,78,2,7,3,SC,Fall,Inside,Drone,All_eelgrass,79
363,79,3,7,2,SC,Fall,Inside,Drone,All_eelgrass,78
364,80,4,7,1,SC,Fall,Inside,Drone,All_eelgrass,89
365,81,5,6,4,SC,Fall,Inside,Drone,All_eelgrass,87
366,82,6,6,3,SC,Fall,Inside,Drone,All_eelgrass,96
367,83,7,6,2,SC,Fall,Inside,Drone,All_eelgrass,41
368,84,8,6,1,SC,Fall,Inside,Drone,All_eelgrass,21
369,85,9,5,4,SC,Fall,Outside,Drone,All_eelgrass,0
370,86,10,5,3,SC,Fall,Outside,Drone,All_eelgrass,0
371,87,11,5,2,SC,Fall,Outside,Drone,All_eelgrass,0
372,88,12,5,1,SC,Fall,Outside,Drone,All_eelgrass,0
373,89,13,4,4,SC,Fall,Edge,Drone,All_eelgrass,0
374,90,14,4,3,SC,Fall,Edge,Drone,All_eelgrass,1
375,91,15,4,2,SC,Fall,Edge,Drone,All_eelgrass,29
376,92,16,4,1,SC,Fall,Edge,Drone,All_eelgrass,2
377,93,17,3,4,SC,Fall,Outside,Drone,All_eelgrass,0
378,94,18,3,3,SC,Fall,Outside,Drone,All_eelgrass,0
379,95,19,3,2,SC,Fall,Outside,Drone,All_eelgrass,0
380,96,20,3,1,SC,Fall,Outside,Drone,All_eelgrass,0
381,101,25,2,4,SC,Fall,Edge,Drone,All_eelgrass,0
382,102,26,2,3,SC,Fall,Edge,Drone,All_eelgrass,37
383,103,27,2,2,SC,Fall,Edge,Drone,All_eelgrass,67
384,104,28,2,1,SC,Fall,Edge,Drone,All_eelgrass,74
385,105,1,1,1,NH,Summer,Inside,Drone,All_eelgrass,98
386,106,2,1,2,NH,Summer,Inside,Drone,All_eelgrass,93
387,107,3,1,3,NH,Summer,Inside,Drone,All_eelgrass,102
388,108,4,1,4,NH,Summer,Inside,Drone,All_eelgrass,99
389,109,5,2,1,NH,Summer,Edge,Drone,All_eelgrass,99
390,110,6,2,2,NH,Summer,Edge,Drone,All_eelgrass,100
391,111,7,2,3,NH,Summer,Edge,Drone,All_eelgrass,100
392,112,8,2,4,NH,Summer,Edge,Drone,All_eelgrass,99
393,113,9,3,1,NH,Summer,Outside,Drone,All_eelgrass,0
394,114,10,3,2,NH,Summer,Outside,Drone,All_eelgrass,61
395,115,11,3,3,NH,Summer,Outside,Drone,All_eelgrass,93
396,116,12,3,4,NH,Summer,Outside,Drone,All_eelgrass,61
397,117,13,4,1,NH,Summer,Inside,Drone,All_eelgrass,63
398,118,14,4,2,NH,Summer,Inside,Drone,All_eelgrass,86
399,119,15,4,3,NH,Summer,Inside,Drone,All_eelgrass,72
400,120,16,4,4,NH,Summer,Inside,Drone,All_eelgrass,5
401,121,17,5,1,NH,Summer,Edge,Drone,All_eelgrass,0
402,122,18,5,2,NH,Summer,Edge,Drone,All_eelgrass,0
403,123,19,5,3,NH,Summer,Edge,Drone,All_eelgrass,1
404,124,20,5,4,NH,Summer,Edge,Drone,All_eelgrass,96
405,125,21,6,1,NH,Summer,Outside,Drone,All_eelgrass,2
406,126,22,6,2,NH,Summer,Outside,Drone,All_eelgrass,0
407,127,23,6,3,NH,Summer,Outside,Drone,All_eelgrass,0
408,128,24,6,4,NH,Summer,Outside,Drone,All_eelgrass,1
409,129,1,1,1,NH,Fall,Inside,Drone,All_eelgrass,93
410,130,2,1,2,NH,Fall,Inside,Drone,All_eelgrass,83
411,131,3,1,3,NH,Fall,Inside,Drone,All_eelgrass,99
412,132,4,1,4,NH,Fall,Inside,Drone,All_eelgrass,65
413,133,5,2,1,NH,Fall,Edge,Drone,All_eelgrass,13
414,134,6,2,2,NH,Fall,Edge,Drone,All_eelgrass,57
415,135,7,2,3,NH,Fall,Edge,Drone,All_eelgrass,100
416,136,8,2,4,NH,Fall,Edge,Drone,All_eelgrass,100
